year,team,off_rtg,def_rtg,efg,reb_diff
2023,ATL,116.5,116.3,0.54,0.29999999999999716
2023,BOS,118.0,111.6,0.565,1.2000000000000028
2023,BRK,115.1,114.3,0.564,-4.600000000000001
2023,CHO,109.3,115.7,0.516,-1.7000000000000028
2023,CHI,113.8,112.6,0.552,-0.7999999999999972
2023,CLE,116.4,110.8,0.556,-0.20000000000000284
2023,DAL,116.9,116.6,0.566,-5.600000000000001
2023,DEN,117.7,114.2,0.573,2.200000000000003
2023,DET,110.8,119.0,0.52,-2.5
2023,GSW,115.7,114.9,0.568,0.8999999999999986
2023,HOU,111.5,119.7,0.516,4.800000000000004
2023,IND,114.3,117.5,0.543,-3.6000000000000014
2023,LAC,114.7,114.4,0.55,-0.10000000000000142
2023,LAL,114.4,114.0,0.541,0.7000000000000028
2023,MEM,115.0,111.0,0.539,2.3000000000000043
2023,MIA,112.7,113.5,0.527,-1.2999999999999972
2023,MIL,115.6,111.6,0.555,4.5
2023,MIN,113.4,113.8,0.558,-2.700000000000003
2023,NOP,114.4,112.6,0.542,1.8999999999999986
2023,NYK,117.7,114.5,0.54,4.5
2023,OKC,115.3,114.6,0.531,-3.200000000000003
2023,ORL,112.2,114.2,0.535,1.1000000000000014
2023,PHI,117.8,113.3,0.562,-0.4000000000000057
2023,PHO,115.2,112.8,0.536,1.5999999999999943
2023,POR,115.0,118.3,0.549,-2.1000000000000014
2023,SAC,119.9,116.7,0.576,0.29999999999999716
2023,SAS,109.8,120.0,0.524,-1.8000000000000043
2023,TOR,115.8,114.1,0.518,0.8999999999999986
2023,UTA,116.1,116.8,0.548,2.4000000000000057
2023,WAS,114.6,115.6,0.552,0.7000000000000028
